batch_id,spawned_at,items_count,total_measured_size,total_tokens,work_tokens,ratio,running_avg_ratio
batch_00,2026-04-27T00:11:48Z,0,0,38724,0,,
batch_01,2026-04-27T00:25:25Z,5,21308,95127,56403,2.647,2.647
batch_02,2026-04-27T00:29:32Z,5,99768,103094,64370,0.645,0.998
batch_03,2026-04-27T00:46:17Z,7,96295,127514,88790,0.922,0.964
batch_04,2026-04-27T00:58:21Z,10,76545,115192,76468,0.999,0.973
batch_05,2026-04-27T01:11:24Z,10,67403,120847,82123,1.218,1.019
batch_06,2026-04-27T03:53:31Z,16,103989,150560,111836,1.075,1.030
batch_07,2026-04-27T04:07:19Z,16,120000,172452,133728,1.114,1.045
batch_08,2026-04-27T11:56:13Z,16,108000,172635,133911,1.240,1.069
